time,close,high,low,open,volumefrom,volumeto
2018-01-15 23:17:00,1294.55,1295.43,1294.48,1295.15,354.23,458960.73
2018-01-15 23:18:00,1292.89,1294.59,1292.88,1294.59,853.71,1104719.24
2018-01-15 23:19:00,1288.68,1292.44,1288.64,1292.44,841.02,1086467.31
2018-01-15 23:20:00,1287.22,1289.06,1287.22,1288.5,720.51,927832.38
2018-01-15 23:21:00,1284.95,1287.51,1284.68,1287.22,897.98,1153084.85
2018-01-15 23:22:00,1281.74,1285.12,1281.62,1284.95,914.95,1174981.14
2018-01-15 23:23:00,1280.67,1281.98,1279.64,1281.74,794.48,1016859.38
2018-01-15 23:24:00,1284.39,1284.39,1279.12,1280.67,815.95,1046414.23
2018-01-15 23:25:00,1284.1,1284.54,1283.56,1284.49,338.61,434856.71
2018-01-15 23:26:00,1280.42,1283.42,1279.99,1283.42,373.09,478868.78
2018-01-15 23:27:00,1281.22,1281.62,1280.21,1280.42,371.75,475806.5
2018-01-15 23:28:00,1280.59,1281.52,1280.19,1281.22,554.68,709294.23
2018-01-15 23:29:00,1287.0,1287.42,1279.99,1280.59,1160.29,1487797.16
2018-01-15 23:30:00,1287.99,1288.4,1284.71,1287.76,838.52,1080232.17
2018-01-15 23:31:00,1290.96,1291.1,1287.86,1287.99,507.39,653608.56
2018-01-15 23:32:00,1291.55,1291.74,1290.05,1290.96,772.26,996818.31
2018-01-15 23:33:00,1290.15,1291.91,1290.02,1291.55,627.14,808483.53
2018-01-15 23:34:00,1288.6,1290.29,1287.91,1290.15,444.22,571639.11
2018-01-15 23:35:00,1289.68,1290.47,1288.57,1288.6,783.52,1007814.94
2018-01-15 23:36:00,1286.43,1289.69,1286.23,1289.68,455.16,585260.99
2018-01-15 23:37:00,1284.93,1286.28,1283.31,1286.28,342.31,438942.42
2018-01-15 23:38:00,1283.2,1284.93,1282.74,1284.93,324.42,417673.7
2018-01-15 23:39:00,1277.93,1283.22,1277.93,1283.2,1207.83,1540928.6
2018-01-15 23:40:00,1273.72,1278.27,1273.55,1277.93,1328.06,1694886.75
2018-01-15 23:41:00,1271.95,1273.72,1271.07,1273.72,806.83,1024857.99
2018-01-15 23:42:00,1278.9,1280.06,1271.85,1271.96,1116.7,1425352.38
2018-01-15 23:43:00,1277.11,1280.44,1276.67,1278.9,604.97,773952.63
2018-01-15 23:44:00,1276.29,1279.91,1276.18,1277.11,415.75,532994.89
2018-01-15 23:45:00,1276.76,1276.84,1274.89,1276.37,399.32,509918.2
2018-01-15 23:46:00,1279.01,1279.24,1276.39,1276.39,452.66,578053.53
2018-01-15 23:47:00,1278.07,1280.19,1278.04,1279.01,487.62,623915.83
2018-01-15 23:48:00,1275.68,1278.07,1275.68,1278.07,461.82,587784.88
2018-01-15 23:49:00,1274.71,1275.22,1273.65,1275.19,273.64,348812.83
2018-01-15 23:50:00,1274.44,1274.81,1274.32,1274.7,308.44,392860.65
2018-01-15 23:51:00,1272.38,1274.71,1272.32,1274.44,275.47,351919.05
2018-01-15 23:52:00,1273.87,1274.33,1271.33,1272.2,654.44,831906.98
2018-01-15 23:53:00,1274.14,1274.81,1272.9,1273.87,210.78,268516.96
2018-01-15 23:54:00,1276.27,1276.38,1274.14,1274.14,153.0,195807.78
2018-01-15 23:55:00,1274.33,1276.27,1274.29,1275.64,359.86,458039.97
2018-01-15 23:56:00,1275.84,1275.88,1273.38,1274.33,256.91,328004.15
2018-01-15 23:57:00,1276.44,1276.77,1275.6,1275.6,176.56,226652.07
2018-01-15 23:58:00,1276.88,1277.68,1276.41,1276.59,158.45,202610.21
2018-01-15 23:59:00,1278.69,1278.71,1275.86,1276.73,303.39,388152.27
2018-01-16 00:00:00,1281.85,1282.02,1278.13,1278.7,603.0,772611.54
2018-01-16 00:01:00,1279.81,1282.27,1279.77,1282.13,444.9,570021.96
2018-01-16 00:02:00,1278.89,1279.76,1277.98,1279.76,126.98,162440.47
2018-01-16 00:03:00,1279.4,1280.49,1278.89,1278.89,250.63,320456.36
2018-01-16 00:04:00,1277.36,1279.4,1277.32,1279.4,250.13,320456.91
2018-01-16 00:05:00,1277.32,1277.53,1276.5,1277.36,127.22,163248.15
2018-01-16 00:06:00,1276.42,1277.37,1276.39,1277.34,201.5,257007.14
2018-01-16 00:07:00,1274.3,1276.42,1274.28,1276.42,437.86,558474.74
2018-01-16 00:08:00,1272.54,1274.65,1272.47,1274.3,851.36,1084248.46
2018-01-16 00:09:00,1267.98,1272.66,1267.86,1272.54,1376.32,1749588.96
2018-01-16 00:10:00,1265.37,1268.52,1265.36,1268.07,838.74,1061377.35
2018-01-16 00:11:00,1265.84,1267.95,1265.21,1265.37,1074.99,1358790.4
2018-01-16 00:12:00,1270.93,1271.08,1264.99,1265.83,1036.55,1313716.7
2018-01-16 00:13:00,1266.41,1271.31,1266.41,1270.93,913.58,1161153.28
2018-01-16 00:14:00,1264.81,1266.62,1264.43,1266.62,384.94,486976.64
2018-01-16 00:15:00,1263.56,1265.13,1263.03,1264.81,1111.47,1404577.35
2018-01-16 00:16:00,1262.11,1263.63,1261.84,1263.53,736.88,931200.38
2018-01-16 00:17:00,1260.31,1262.48,1259.77,1262.12,887.31,1117330.51
2018-01-16 00:18:00,1254.77,1260.57,1254.44,1260.14,1947.22,2440858.03
2018-01-16 00:19:00,1260.01,1260.22,1253.8,1254.77,1485.97,1868109.04
2018-01-16 00:20:00,1259.82,1261.53,1259.4,1260.01,1041.79,1310881.96
2018-01-16 00:21:00,1256.11,1259.86,1256.1,1259.82,951.44,1193616.2
2018-01-16 00:22:00,1257.63,1258.04,1256.11,1256.11,619.86,779348.44
2018-01-16 00:23:00,1260.38,1260.53,1257.55,1257.63,840.01,1056609.56
2018-01-16 00:24:00,1262.29,1263.38,1260.35,1260.38,920.93,1160408.65
2018-01-16 00:25:00,1257.49,1262.31,1256.72,1262.31,544.29,684374.48
2018-01-16 00:26:00,1255.7,1259.05,1255.69,1257.3,751.19,942421.42
2018-01-16 00:27:00,1250.67,1255.51,1249.96,1255.51,1482.66,1856306.54
2018-01-16 00:28:00,1249.05,1250.96,1248.88,1250.67,876.36,1094783.65
2018-01-16 00:29:00,1253.29,1253.63,1249.01,1249.05,1300.11,1624953.56
2018-01-16 00:30:00,1250.16,1253.49,1249.43,1253.29,585.42,732562.6
