,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
162,12708300.0,85558371.0,firstblood,1515383049.0,157999787.0,,FirstBlood,-0.22,-13.9,102.47,0.00011725,1.84669,163,1ST,93468691.0
163,9324790.0,18266200.0,modum,1515383057.0,157863076.0,27266200.0,Modum,2.59,5.86,32.46,0.00054871,8.64236,164,MOD,27266200.0
164,2618470.0,98939459.0,sirin-labs-token,1515383060.0,157714445.0,,SIRIN LABS Token,-1.31,-3.81,56.0,0.00010121,1.59405,165,SRN,573145073.0
165,4003670.0,24561287.0,peercoin,1515383041.0,155847504.0,,Peercoin,0.91,0.7,41.41,0.00040286,6.34525,166,PPC,24561287.0
166,40966600.0,32105578.0,triggers,1515383050.0,154818232.0,,Triggers,-6.79,-12.55,-31.41,0.00030616,4.82216,167,TRIG,32105578.0
167,4869450.0,77839404.0,latoken,1515383057.0,153247105.0,1000000000.0,LAToken,4.04,51.52,246.64,0.000125,1.96876,168,LA,400000000.0
168,6820310.0,230379054.0,hempcoin,1515383043.0,151964474.0,,HempCoin,-0.7,7.83,7.82,4.188e-05,0.659628,169,THC,230379054.0
169,7470950.0,128805028.0,library-credit,1515383049.0,149310788.0,,LBRY Credits,-0.05,5.08,59.24,7.36e-05,1.1592,170,LBC,515704654.0
170,2021510.0,51306089.0,decent,1515383051.0,145940170.0,,DECENT,-4.76,-6.8,18.3,0.0001806,2.8445,171,DCT,73197775.0
171,2364600.0,599400.0,melon,1515383051.0,145483970.0,,Melon,0.49,0.48,86.5,0.0154101,242.716,172,MLN,749400.0
172,6897550.0,173256993.0,utrust,1515383060.0,142682678.0,,UTRUST,-0.73,2.06,80.06,5.229e-05,0.823532,173,UTK,500000000.0
173,46516800.0,22620193.0,eidoo,1515383057.0,139829888.0,,Eidoo,-0.07,5.07,64.47,0.00039247,6.18164,174,EDO,90408327.0
174,14311000.0,113139200.0,rise,1515383048.0,137659859.0,,Rise,-2.67,1.95,-4.16,7.725e-05,1.21673,175,RISE,113139200.0
175,4738730.0,91723676.0,asch,1515383051.0,137303922.0,,Asch,-2.11,4.34,21.42,9.504e-05,1.49693,176,XAS,113223676.0
176,1902940.0,300043386.0,spankchain,1515383058.0,136538643.0,,SpankChain,-0.7,16.98,160.28,2.889e-05,0.455063,177,SPANK,1000000000.0
177,11351600.0,560650080.0,coindash,1515383054.0,132439565.0,,CoinDash,-2.2,-9.62,42.66,1.5e-05,0.236225,178,CDT,1000000000.0
178,5139390.0,600000000.0,adtoken,1515383054.0,131601600.0,1000000000.0,adToken,8.68,8.24,200.98,1.393e-05,0.219336,179,ADT,1000000000.0
179,2813860.0,5053693.0,cloakcoin,1515383043.0,130252367.0,,CloakCoin,-7.43,5.94,-13.53,0.00163638,25.7737,180,CLOAK,5053693.0
180,1209630.0,52000000.0,quantum-resistant-ledger,1515383054.0,129211680.0,105000000.0,Quantum Resistant Ledger,-2.54,-10.56,6.55,0.00015776,2.48484,181,QRL,65000000.0
181,21698200.0,157861327.0,gifto,1515383059.0,128846730.0,,Gifto,-2.01,14.09,196.87,5.182e-05,0.816202,182,GTO,1000000000.0
182,756441.0,183000000.0,wagerr,1515383054.0,128588976.0,200000000.0,Wagerr,-0.38,5.12,32.36,4.461e-05,0.702672,183,WGR,198360471.0
183,1879820.0,42000000.0,agoras-tokens,1515383045.0,127633380.0,,Agoras Tokens,0.54,9.25,4.73,0.00019294,3.03889,184,AGRS,42000000.0
184,21932600.0,19300994.0,metal,1515383053.0,125862554.0,,Metal,-2.94,-9.59,-18.59,0.00041402,6.52104,185,MTL,66588888.0
185,19757900.0,31823026.0,oyster-pearl,1515383058.0,125241111.0,,Oyster Pearl,-2.54,19.53,686.73,0.00024987,3.93555,186,PRL,108592692.0
186,26569100.0,3726781.0,genesis-vision,1515383058.0,124602311.0,,Genesis Vision,-4.02,2.88,269.41,0.00212275,33.4343,187,GVT,4436644.0
187,688289.0,29250004.0,delphy,1515383058.0,124488018.0,,Delphy,-3.82,17.71,32.85,0.00027021,4.256,188,DPY,100000000.0
188,2133850.0,22951999.0,viacoin,1515383043.0,122461311.0,23000000.0,Viacoin,-0.62,-6.06,11.91,0.00033875,5.33554,189,VIA,22951999.0
189,7873490.0,61923357.0,coss,1515383056.0,120686764.0,200000000.0,COSS,-1.12,73.75,672.74,0.00012374,1.94897,190,COSS,104000000.0
190,1995940.0,31301449.0,decision-token,1515383058.0,117819280.0,,Decision Token,3.85,37.34,251.48,0.00023898,3.76402,191,HST,48240070.0
191,3655420.0,69171019.0,groestlcoin,1515383042.0,117206833.0,105000000.0,Groestlcoin,-1.39,-3.82,10.26,0.00010758,1.69445,192,GRS,69171019.0
192,9047480.0,216964020.0,monetha,1515383055.0,115198782.0,,Monetha,-0.69,13.36,79.26,3.371e-05,0.530958,193,MTH,402400000.0
193,192389.0,39236491.0,grid,1515383058.0,114440681.0,,Grid+,0.91,11.68,187.72,0.00018518,2.91669,194,GRID,300000000.0
194,1302140.0,389920100.0,gulden,1515383042.0,113561500.0,,Gulden,0.58,9.38,18.94,1.849e-05,0.291243,195,NLG,461420100.0
195,860167.0,11591028.0,shift,1515383045.0,113003945.0,,Shift,-0.28,1.28,-0.51,0.00061898,9.74926,196,SHIFT,11591028.0
196,14380700.0,231436247.0,yoyow,1515383055.0,112390765.0,1000000000.0,YOYOW,-1.99,-10.35,67.8,3.083e-05,0.485623,197,YOYOW,300000000.0
197,1501960.0,14651140.0,aeon,1515383045.0,112247222.0,,Aeon,-4.98,-8.6,34.01,0.00048642,7.66133,198,AEON,14651140.0
